Time(s), net@14, net@3, net@25, vdd, 
1.900000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
1.910000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
1.920000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
1.930000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
1.940000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
1.950000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
1.960000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
1.970000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
1.980000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
1.990000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
2.000000e-09, 0.000000e+00, 5.000000e+00, 5.000000e+00, 5.000000e+00, 
2.010000e-09, 0.000000e+00, 4.750000e+00, 5.000000e+00, 5.000000e+00, 
2.020000e-09, 0.000000e+00, 4.500000e+00, 5.000000e+00, 5.000000e+00, 
2.030000e-09, 0.000000e+00, 4.250000e+00, 5.000000e+00, 5.000000e+00, 
2.040000e-09, 9.883522e-03, 4.000000e+00, 5.000000e+00, 5.000000e+00, 
2.050000e-09, 1.656632e-01, 3.750000e+00, 5.000000e+00, 5.000000e+00, 
2.060000e-09, 5.185689e-01, 3.500000e+00, 5.000000e+00, 5.000000e+00, 
2.070000e-09, 1.075674e+00, 3.250000e+00, 4.771662e+00, 5.000000e+00, 
2.080000e-09, 1.839235e+00, 3.000000e+00, 2.693782e+00, 5.000000e+00, 
2.090000e-09, 2.372588e+00, 2.750000e+00, 2.676848e+00, 5.000000e+00, 
2.100000e-09, 2.601486e+00, 2.500000e+00, 2.520690e+00, 5.000000e+00, 
2.110000e-09, 2.721561e+00, 2.250000e+00, 2.403390e+00, 5.000000e+00, 
2.120000e-09, 2.733998e+00, 2.000000e+00, 2.390048e+00, 5.000000e+00, 
