Time (s), net@14, net@25, net@3, vdd, 
0.000000e+00, 1.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+00, 
1.000000e-11, 1.000000e+00, 0.000000e+00, 5.000000e-02, 1.000000e+00, 
2.000000e-11, 1.000000e+00, -4.667649e-09, 1.000000e-01, 1.000000e+00, 
3.000000e-11, 1.000000e+00, -4.696962e-09, 1.500000e-01, 1.000000e+00, 
4.000000e-11, 1.000000e+00, 0.000000e+00, 2.000000e-01, 1.000000e+00, 
5.000000e-11, 1.000000e+00, 4.830068e-09, 2.500000e-01, 1.000000e+00, 
6.000000e-11, 1.000000e+00, -4.997237e-09, 3.000000e-01, 1.000000e+00, 
7.000000e-11, 1.000000e+00, 1.195062e-10, 3.500000e-01, 1.000000e+00, 
8.000000e-11, 1.000000e+00, 1.195062e-10, 4.000000e-01, 1.000000e+00, 
9.000000e-11, 1.000000e+00, 1.195062e-10, 4.500000e-01, 1.000000e+00, 
1.000000e-10, 1.000000e+00, 1.195062e-10, 5.000000e-01, 1.000000e+00, 
1.100000e-10, 1.000000e+00, 1.195062e-10, 5.500000e-01, 1.000000e+00, 
1.200000e-10, 1.000000e+00, 1.195062e-10, 6.000000e-01, 1.000000e+00, 
1.300000e-10, 1.000000e+00, 1.195062e-10, 6.500000e-01, 1.000000e+00, 
1.400000e-10, 1.000000e+00, 1.195062e-10, 7.000000e-01, 1.000000e+00, 
1.500000e-10, 9.709079e-01, -3.165614e-03, 7.500000e-01, 1.000000e+00, 
1.600000e-10, 8.577360e-01, -1.929033e-02, 8.000000e-01, 1.000000e+00, 
1.700000e-10, -3.607007e-02, 8.749500e-01, 8.500000e-01, 1.000000e+00, 
1.800000e-10, 2.345703e-02, 9.928817e-01, 9.000000e-01, 1.000000e+00, 
1.900000e-10, 6.597915e-03, 9.975488e-01, 9.500000e-01, 1.000000e+00, 
2.000000e-10, 1.676350e-03, 9.992594e-01, 1.000000e+00, 1.000000e+00, 
2.100000e-10, 4.472013e-04, 9.998030e-01, 1.000000e+00, 1.000000e+00, 
2.200000e-10, 1.191377e-04, 9.999475e-01, 1.000000e+00, 1.000000e+00, 
2.300000e-10, 3.171147e-05, 9.999860e-01, 1.000000e+00, 1.000000e+00, 
2.400000e-10, 8.440523e-06, 9.999962e-01, 1.000000e+00, 1.000000e+00, 
2.500000e-10, 2.233718e-06, 9.999990e-01, 1.000000e+00, 1.000000e+00, 
2.600000e-10, 6.042023e-07, 9.999997e-01, 1.000000e+00, 1.000000e+00, 
2.700000e-10, 1.647824e-07, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
2.800000e-10, 3.661831e-08, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
2.900000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.000000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.100000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.200000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.300000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.400000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.500000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.600000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.700000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.800000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
3.900000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
4.000000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
4.100000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
4.200000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
4.300000e-10, 0.000000e+00, 9.999999e-01, 1.000000e+00, 1.000000e+00, 
